Brand,Count
Nike,2203
Puma,2098
ADIDAS,1923
United Colors of Benetton,1563
Fabindia,751
Catwalk,744
Gini and Jony,721
Fastrack,688
Wrangler,683
Lino Perros,655
Baggit,625
Myntra,476
FILA,474
French Connection,432
Jealous 21,403
Jockey,398
Arrow,388
Lotto,381
Lee,376
Murcia,372
Colorbar,357
W,356
Proline,346
Flying Machine,343
Wildcraft,340
Femella,336
Lucera,332
Reebok,329
Basics,328
Mark Taylor,327
Rocia,325
LOCOMOTIVE,324
Peter England,321
SCULLERS,319
Fossil,314
CASIO,310
Indigo Nation,307
Doodle,302
U.S. Polo Assn.,295
Red Tape,289
Q&Q,274
Mother Earth,264
Reid & Taylor,263
SPYKAR,260
maxima,260
Lakme,255
Vishudh,253
Timberland,250
Playboy,249
FNF,248
Chromozome,244
Tantra,244
Lotus Herbals,231
John Miller,229
Revlon,226
HIGHLANDER,222
Numero Uno,222
AURELIA,221
Carlton London,220
Probase,216
Hanes,214
Levis,213
Aneri,203
KIARA,196
Vans,196
Titan,194
Enamor,188
Park Avenue,182
Arrow Woman,179
Red Rose,175
Converse,174
Biba,172
Clarks,170
Franco Leone,168
Streetwear,166
Elle,165
John Players,164
Classic Polo,163
Skechers,162
Disney,158
ADIDAS Originals,158
Amante,158
HM,155
Turtle,153
Timex,149
Lee Cooper,145
SDL by Sweet Dreams,141
Facit,140
Shree,138
SCULLERS FOR HER,136
I DEE,135
Police,131
s.Oliver,128
Inkfruit,126
Tonga,125
DIVA,124
Status Quo,122
Cobblerz,117
Woodland,114
Royal Diadem,112
Avirate,112
Provogue,112
Palm Tree,110
Arrow Sport,110
Quiksilver,109
Sepia,107
Rockport,107
Urban Yoga,106
Genesis,106
GAS,105
Madagascar 3,104
Belmonte,104
Ray-Ban,103
BULCHEE,103
Portia,102
Red Chief,101
Estelle,101
ESPRIT,100
Decathlon,96
Deborah,95
Wills Lifestyle,95
iPanema,95
Prafful,92
Alma,92
Hakashi,91
Adrika,89
Revv,88
OTLS,88
Mr. Men Little Miss,87
AMERICAN TOURISTER,87
Rasasi,87
Do u speak green,86
Nike Fragrances,86
Allen Solly,84
Folklore,84
Warner Bros,84
Spice Art,83
Buckaroo,82
Mr. Men,82
ID,82
Enroute Women,81
Ed Hardy,80
New Hide,79
DKNY,78
Forever New,77
Manchester United,76
Inc 5,75
Latin Quarters,75
ONLY,73
Rreverie,72
Tokyo Talkies,72
GIORDANO,72
Bwitch,72
Ganuchi,68
Spinn,68
Citizen,66
Crocs,65
ToniQ,65
GUESS,64
Span,64
Quechua,63
Little Miss,63
Gliders,61
roxy,61
Ivory Tag,59
Mod-acc,59
Nyk,58
Ant,58
Hidekraft,58
Miami Blues,57
ASICS,57
Enroute Men,56
Van Heusen,56
Mineral,56
Vero Moda,55
Alayna,55
Polaroid,54
Levis Kids,54
Remanika,53
Coolers,53
Denizen,53
Mumbai Slang,53
Chhota Bheem,51
Senorita,51
Raymond,51
Biara,50
Marvel,49
Louis Philippe,49
Allen Solly Woman,49
Lovable,48
Be For Bag,48
Angry Birds,48
BOSS,47
Pepe Jeans,47
Parx,46
Stoln,45
Mayhem,44
Globalite,44
Helix,42
York,40
FCUK Underwear,39
Peri Peri,38
Lencia,38
Just Natural,37
Spalding,35
Global Desi,35
Indian Terrain,35
Pitaraa,35
Guerrilla,35
OAKLEY,33
Rocky S,33
yelloe,33
CABARELLI,33
Biotique,33
Nautica,32
Enroute Teens,32
Little Miss Intimates,32
Sushilas,31
Kraus Jeans,31
FIFA,30
F Sports,30
Free Authority,29
109F,29
Black coffee,29
Batman,29
Satya Paul,28
Paridhan,28
U.S. Polo Assn. Denim Co.,28
Carrera,27
MTV,27
Superman,27
HUGO,27
DENI YO,27
Force 10,27
Hush Puppies,27
Grendha,26
Colour me,26
Peperone,26
Image,26
Domyos,26
Undercolors of Benetton,25
Estd. 1977,25
Tiptopp,25
Celine Dion,25
SKAGEN,24
Envirosax,24
Pieces,24
JAG,24
dunhill,24
Arrow New York,23
OPIUM,22
Newfeel,22
DC Comics,22
Fiorelli,22
Bata,22
Jack & Jones,21
Homme,21
Happy Socks,21
Speedo,21
CAT,21
MISS SIXTY,21
Calvin Klein,20
Chimp,20
Jungle Book,20
VITAL Gear,20
Fusion Beats,19
DAVID BECKHAM,19
Crusoe,19
Skybags,18
Levitate,18
Fortune,18
Campbell,18
ASPEN,18
Lomani,17
Ayaany,17
ice watch,17
2go ACTIVE GEAR USA,17
Garfield,17
Mickey,17
Olay,17
Being Human,16
Fruit of the loom,16
vogue,16
Ponds,16
Belkin,16
Inaya,16
Tortoise,15
AND,15
Morellato,15
Miki Pearl,15
Paris Hilton,15
Van Heusen Woman,15
Beyouty,15
Ben 10,15
Salomon,14
Miss-T,14
Hugo Boss,14
Taylor of London,14
TOUS,14
J. DEL POZO,14
Heart 2 Heart,13
Baldessarini,13
Jacques M,13
Allen Solly Kids,13
Tommy Hilfiger,13
Horsefly,13
Kenneth Cole,13
Barbie,13
Fogg,12
FOOTLOOSE,12
Pal Zileri,12
The Amazing Spiderman,11
Sher Singh,11
Tonino Lamborghini,11
Music,11
Estee Lauder,11
Ediots,11
YARDLEY,10
JOVAN,10
FCUK,10
Avengers,10
LA-EMOTIO,10
C Vox,9
Kama Sutra,9
Kipsta,9
Hidedge,9
PERRY ELLIS,9
Just Cavalli,9
Calvin Klein Innerwear,9
Kalenji,8
Hannah Montana,8
Slazenger,8
Adidas,8
Valentino Perfumes,8
Cavallini,8
Euroluxe,8
Swiss Army,8
Denim,8
Wild stone,8
Beatles,8
New Balance,7
Gatsby,7
Spinz,7
DAVIDOFF,7
Hop Scotch,7
Nautilus,7
Footfun,7
Regent Polo Club,7
Kids Ville,7
Nabaiji,6
JAGUAR,6
Tabac,6
Smugglerz,6
Kelme,6
4711,6
CHE GUEVARA,5
Stens by Enroute,5
Calzini,5
BRUT,5
Jimi Hendrix,5
RNC,5
Smartoe,5
U.S. Polo Assn. Kids,5
Formula 1,5
Umbro,4
Inesis,4
Giorgio Beverly Hills,4
Geonaute,4
Nirvana,4
Secret Temptation,4
Windsor,4
Love Passport,4
Old Spice,4
Mont Blanc,4
24,4
Bulgari,4
Pink Floyd,4
Artengo,4
18+,3
Pacific Gold,3
Dolce & Gabbana,3
Burberry,3
Aerosmith,3
Salvatore Ferragamo,3
Billy Idol,3
aramis,3
Carolina Herrera,3
Ralph Lauren,3
Kylie Minogue,3
Strapless,3
Rolling Stone,3
Saint James,3
Paco Rabanne,3
F5,2
Scholl,2
Suunto,2
pierre cardin,2
LINKIN PARK,2
Nina Ricci,2
DARK KNIGHT,2
Cartier,2
Casio Baby-G,2
Issey Miyake,2
Versace,2
John Lenon,2
Rising Wave,2
Yves Saint Laurent,2
Ferrari,2
Smashing Pumpkins,1
Carlos Moya,1
Xoxo,1
Valley of Flowers,1
Wilson,1
Azzaro,1
SWAYAM,1
test,1
Calvin Klein Underwear,1
Joker,1
Avon,1
Roadster,1
MEGADETH,1
Tom & Jerry,1
Queen,1
Giorgio Armani,1
