Color,Count
Black,9732
White,5540
Blue,4922
Brown,3494
Grey,2741
Red,2458
Green,2116
Pink,1861
Navy Blue,1791
Purple,1643
Silver,1090
Yellow,779
Beige,749
Gold,629
Maroon,581
Orange,530
Olive,410
Multi,394
Cream,390
Steel,315
Charcoal,228
Peach,195
Off White,182
Skin,179
Lavender,162
Grey Melange,146
Khaki,139
Magenta,129
Teal,120
Tan,114
Mustard,97
Bronze,95
Copper,86
Turquoise Blue,69
Rust,66
Burgundy,45
Metallic,43
Coffee Brown,31
Mauve,29
Rose,28
Nude,23
Sea Green,22
Mushroom Brown,16
NA,15
Taupe,11
Lime Green,6
Fluorescent Green,5
